Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Autauga County, Alabama",55380,29819,29819,0.54,Autauga County,Alabama
"Baldwin County, Alabama",212830,32626,32626,0.15,Baldwin County,Alabama
"Barbour County, Alabama",25361,18473,18473,0.73,Barbour County,Alabama
"Bibb County, Alabama",22493,20778,20778,0.92,Bibb County,Alabama
"Blount County, Alabama",57681,24747,24747,0.43,Blount County,Alabama
"Bullock County, Alabama",10248,20877,20877,2.04,Bullock County,Alabama
"Butler County, Alabama",19828,21038,21038,1.06,Butler County,Alabama
"Calhoun County, Alabama",114618,25345,25345,0.22,Calhoun County,Alabama
"Chambers County, Alabama",33660,22729,22729,0.68,Chambers County,Alabama
"Cherokee County, Alabama",25903,24301,24301,0.94,Cherokee County,Alabama
"Chilton County, Alabama",44055,24658,24658,0.56,Chilton County,Alabama
"Choctaw County, Alabama",12925,22308,22308,1.73,Choctaw County,Alabama
"Clarke County, Alabama",24128,22225,22225,0.92,Clarke County,Alabama
"Clay County, Alabama",13337,23519,23519,1.76,Clay County,Alabama
"Cleburne County, Alabama",14916,23142,23142,1.55,Cleburne County,Alabama
"Coffee County, Alabama",51662,27806,27806,0.54,Coffee County,Alabama
"Colbert County, Alabama",54771,25536,25536,0.47,Colbert County,Alabama
"Conecuh County, Alabama",12394,19769,19769,1.6,Conecuh County,Alabama
"Coosa County, Alabama",10757,23694,23694,2.2,Coosa County,Alabama
"Covington County, Alabama",37200,23687,23687,0.64,Covington County,Alabama
"Crenshaw County, Alabama",13844,24563,24563,1.77,Crenshaw County,Alabama
"Cullman County, Alabama",82853,23468,23468,0.28,Cullman County,Alabama
"Dale County, Alabama",49277,24645,24645,0.5,Dale County,Alabama
"Dallas County, Alabama",39149,19612,19612,0.5,Dallas County,Alabama
"DeKalb County, Alabama",71310,21907,21907,0.31,DeKalb County,Alabama
"Elmore County, Alabama",81144,29052,29052,0.36,Elmore County,Alabama
"Escambia County, Alabama",37057,19028,19028,0.51,Escambia County,Alabama
"Etowah County, Alabama",102748,24883,24883,0.24,Etowah County,Alabama
"Fayette County, Alabama",16494,22483,22483,1.36,Fayette County,Alabama
"Franklin County, Alabama",31466,21641,21641,0.69,Franklin County,Alabama
"Geneva County, Alabama",26417,21711,21711,0.82,Geneva County,Alabama
"Greene County, Alabama",8324,14884,14884,1.79,Greene County,Alabama
"Hale County, Alabama",14809,21191,21191,1.43,Hale County,Alabama
"Henry County, Alabama",17133,25276,25276,1.48,Henry County,Alabama
"Houston County, Alabama",104702,27097,27097,0.26,Houston County,Alabama
"Jackson County, Alabama",51852,22596,22596,0.44,Jackson County,Alabama
"Jefferson County, Alabama",659680,32098,32098,0.05,Jefferson County,Alabama
"Lamar County, Alabama",13885,22636,22636,1.63,Lamar County,Alabama
"Lauderdale County, Alabama",92556,28033,28033,0.3,Lauderdale County,Alabama
"Lawrence County, Alabama",33058,23450,23450,0.71,Lawrence County,Alabama
"Lee County, Alabama",161152,27860,27860,0.17,Lee County,Alabama
"Limestone County, Alabama",94727,28411,28411,0.3,Limestone County,Alabama
"Lowndes County, Alabama",10079,20209,20209,2.01,Lowndes County,Alabama
"Macon County, Alabama",18708,20419,20419,1.09,Macon County,Alabama
"Madison County, Alabama",362276,36620,36620,0.1,Madison County,Alabama
"Marengo County, Alabama",19321,25635,25635,1.33,Marengo County,Alabama
"Marion County, Alabama",29866,21311,21311,0.71,Marion County,Alabama
"Marshall County, Alabama",95643,24453,24453,0.26,Marshall County,Alabama
"Mobile County, Alabama",414114,25861,25861,0.06,Mobile County,Alabama
"Monroe County, Alabama",21270,20527,20527,0.97,Monroe County,Alabama
"Montgomery County, Alabama",226941,29071,29071,0.13,Montgomery County,Alabama
"Morgan County, Alabama",119213,27367,27367,0.23,Morgan County,Alabama
"Perry County, Alabama",9293,15055,15055,1.62,Perry County,Alabama
"Pickens County, Alabama",20243,23024,23024,1.14,Pickens County,Alabama
"Pike County, Alabama",33333,22453,22453,0.67,Pike County,Alabama
"Randolph County, Alabama",22647,24721,24721,1.09,Randolph County,Alabama
"Russell County, Alabama",57952,23470,23470,0.4,Russell County,Alabama
"St. Clair County, Alabama",87989,26409,26409,0.3,St. Clair County,Alabama
"Shelby County, Alabama",213432,38549,38549,0.18,Shelby County,Alabama
"Sumter County, Alabama",12797,16799,16799,1.31,Sumter County,Alabama
"Talladega County, Alabama",80387,23305,23305,0.29,Talladega County,Alabama
"Tallapoosa County, Alabama",40541,25217,25217,0.62,Tallapoosa County,Alabama
"Tuscaloosa County, Alabama",207305,26789,26789,0.13,Tuscaloosa County,Alabama
"Walker County, Alabama",64110,23882,23882,0.37,Walker County,Alabama
"Washington County, Alabama",16541,26752,26752,1.62,Washington County,Alabama
"Wilcox County, Alabama",10681,16841,16841,1.58,Wilcox County,Alabama
"Winston County, Alabama",23784,22952,22952,0.97,Winston County,Alabama
"Aleutians East Borough, Alaska",3385,33939,33939,10.03,Aleutians East Borough,Alaska
"Aleutians West Census Area, Alaska",5698,39647,39647,6.96,Aleutians West Census Area,Alaska
"Anchorage Municipality, Alaska",293531,41415,41415,0.14,Anchorage Municipality,Alaska
"Bethel Census Area, Alaska",18134,19885,19885,1.1,Bethel Census Area,Alaska
"Bristol Bay Borough, Alaska",875,44168,44168,50.48,Bristol Bay Borough,Alaska
"Denali Borough, Alaska",2246,34365,34365,15.3,Denali Borough,Alaska
"Dillingham Census Area, Alaska",4961,25993,25993,5.24,Dillingham Census Area,Alaska
"Fairbanks North Star Borough, Alaska",99072,37025,37025,0.37,Fairbanks North Star Borough,Alaska
"Haines Borough, Alaska",2518,31731,31731,12.6,Haines Borough,Alaska
